"Link_id","Time","Speed","Volumn"
"A000019","0000",82,1743
"A000019","0100",75,2481
"A000019","0200",71,2825
"A000019","0300",70,3082
"A000019","0400",70,2857
"A000019","0500",66,3574
"A000019","0600",46,5486
"A000019","0700",34,6668
"A000019","0800",42,5646
"A000019","0900",45,5510
"A000019","1000",43,5660
"A000019","1100",59,4064
"A000019","1200",60,3877
"A000019","1300",58,4289
"A000019","1400",62,3765
"A000019","1500",59,4168
"A000019","1600",42,5575
"A000019","1700",51,4871
"A000019","1800",35,6518
"A000019","1900",34,6634
"A000019","2000",53,4801
"A000019","2100",58,4012
"A000019","2200",78,2153
"A000019","2300",61,3803
