ISBN_13,PUBL_DATE,PUBL_MONTH,D14_SALE,CATEG_NO,CATEG_NM,AU_CNT,AU_NO,AU_W_CNT,AU_S_CNT,AU_S_AVG,PU_NO,PU_W_CNT,PU_S_CNT,PU_S_AVG,BK_PRICE,BSPT_BIZ,BSPT_LIB,BSPT_SLF,BSPT_LIT,F_INCOME,CSMP_EXP,GRCR_EXP,BOOK_EXP,BK_S_PRD,BK_A_PRD,BK_S_RTL,BK_S_OLN,CSTMR_PI,CSTMR_PP,UNEMPLOY,AU_BS_W1,AU_BS_W2,AU_BS_W3,AU_BS_W4,AU_BS_SC,PU_BS_W1,PU_BS_W2,PU_BS_W3,PU_BS_W4,PU_BS_SC,AU_S_12M,AU_S_06M,AU_S_03M,AU_S_01M,PU_S_12M,PU_S_06M,PU_S_03M,PU_S_01M
9.78896E+12,20130101,201301,7,1006,193;9.GP,1,,0,0,0,7952,277,4763,17.2,13000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,496,234,140
9.78896E+12,20130101,201301,7,1006,193;9.GP,1,,0,0,0,7952,277,4763,17.2,13000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,496,234,140
9.78896E+12,20130101,201301,8,1006,193;9.GP,1,,0,0,0,7952,277,4763,17.2,13000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,496,234,140
9.78896E+12,20130101,201301,8,1006,193;9.GP,1,,0,0,0,7952,277,4763,17.2,13000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,496,234,140
9.789E+12,20130101,201301,0,1006,193;9.GP,1,,0,0,0,166640,6,4,0.7,13000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
9.78899E+12,20130101,201301,0,1006,193;9.GP,1,,0,0,0,6017,121,1023,8.5,12000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,81,39,11
9.78899E+12,20130101,201301,0,1006,193;9.GP,1,,0,0,0,100809,38,197,5.2,12000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,11,7
9.78899E+12,20130101,201301,0,1006,193;9.GP,1,,0,0,0,781,8,0,0,10000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.78899E+12,20130101,201301,0,1006,193;9.GP,1,,0,0,0,4560,59,3373,57.2,8000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,112,48,15
9.78899E+12,20130101,201301,0,1006,193;9.GP,1,,0,0,0,4560,59,3373,57.2,8000,29.3,20.7,59.6,132.4,4092551,2412301,346745,16517,83,78,535068,114609,108.23,99,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,112,48,15
