    year    import    doprod     stock    consum
      49     15.90    149.30      4.20    108.10
      50     16.40    161.20      4.10    114.80
      51     19.00    171.50      3.10    123.20
      52     19.10    175.50      3.10    126.90
      53     18.80    180.80      1.10    132.10
      54     20.40    190.70      2.20    137.70
      55     22.70    202.10      2.10    146.00
      56     26.50    212.40      5.60    154.10
      57     28.10    226.10      5.00    162.30
      58     27.60    231.90      5.10    164.30
      59     26.30    239.00      0.70    167.60
      60     31.10    258.00      5.60    176.80
      61     33.30    269.80      3.90    186.60
      62     37.00    288.40      3.10    199.70
      63     43.30    304.50      4.60    213.90
      64     49.00    323.40      7.00    223.80
      65     50.30    336.80      1.20    232.00
      66     56.60    353.90      4.50    242.90
